Date,Open,High,Low,Close,Adj Close,Volume
2000-03-22,40,42.150002,39.75,41.900002,16.843306,2950100
2000-03-23,41.5,43.599998,41.299999,42.599998,17.124701,3528100
2000-03-24,42.599998,44,42,43.849998,17.764797,2048700
2000-03-27,43.5,43.75,41.150002,41.5,16.81275,2334900
2000-03-28,40.75,41.5,40.25,41.25,16.71147,2121800
2000-03-29,41,42.25,40.75,41,16.61018,1603300
2000-03-30,40.950001,42.700001,40.950001,42.299999,17.136852,2352700
2000-03-31,42.150002,42.25,41.150002,41.450001,16.792492,1218300
2000-04-03,41.150002,42.25,41.150002,41.799999,16.934288,1393700
2000-04-04,41.75,42.400002,40.25,41.25,16.71147,2346700
2000-04-05,40.25,41.099998,39.349998,39.849998,16.144285,1529200
2000-04-06,39.75,39.950001,39.200001,39.200001,15.880957,927500
2000-04-07,39.099998,39.299999,38,38,15.39481,2041200
2000-04-10,38.799999,40.150002,38.400002,39.700001,16.083521,1089500
2000-04-11,39.25,41.5,39.25,41.25,16.71147,1825400
2000-04-12,41.349998,43.75,41.349998,42.5,17.217888,2128000
2000-04-13,42.25,43.299999,41.700001,42.25,17.116594,1921500
2000-04-14,41.200001,42.25,39.849998,40.099998,16.245569,1556100
2000-04-17,39.099998,40.950001,39.099998,40.650002,16.468391,1234700
2000-04-18,40.549999,41,39.799999,39.849998,16.144285,1898300
2000-04-19,40,40.25,38.900002,39.150002,15.860708,1001600
2000-04-20,39.799999,40.599998,39.299999,40.099998,16.245569,1044300
2000-04-21,null,null,null,null,null,null
2000-04-24,40.5,40.5,39.900002,40.25,16.306337,459500
2000-04-25,40.450001,40.900002,39.950001,40.849998,16.549412,701400
2000-04-26,40.75,40.849998,39.799999,40,16.205061,1886900
2000-04-27,39.599998,40.049999,39.299999,39.650002,16.063272,737900
2000-04-28,40,40,38.650002,38.799999,15.718909,1045300
2000-05-01,38.599998,38.75,37.599998,38,15.39481,1554200
2000-05-02,38.099998,39.299999,37.700001,39.150002,15.860708,1166600
2000-05-03,39.049999,39.150002,38.5,39.099998,15.840456,1114600
2000-05-04,39.049999,39.099998,38.099998,38.549999,15.617624,941700
2000-05-05,38.099998,38.200001,37.450001,37.75,15.293524,1526500
2000-05-08,37.900002,38.25,37,37,14.989676,856800
2000-05-09,37.5,39,37.25,38.549999,15.617624,1320500
2000-05-10,38.5,39.400002,38.5,39.049999,15.820189,835800
2000-05-11,39.349998,39.349998,38.799999,39.150002,15.860708,601400
2000-05-12,39,39.400002,38.299999,38.650002,15.658138,916700
2000-05-15,39,41.099998,39,40.849998,16.549412,1375200
2000-05-16,41.049999,41.599998,40.25,41.25,16.71147,1536200
2000-05-17,41,42,40.349998,41.5,16.81275,1221400
2000-05-18,41.299999,42.400002,41.200001,41.700001,16.893776,1028900
2000-05-19,41,41.599998,41,41.25,16.71147,1034600
2000-05-22,null,null,null,null,null,null
2000-05-23,41.299999,41.5,40.549999,40.549999,16.427877,586000
2000-05-24,40.549999,41.5,40.549999,41.5,16.81275,724400
2000-05-25,41.900002,41.950001,40.25,40.25,16.306337,695200
2000-05-26,40.299999,40.400002,39.599998,40.200001,16.286079,672200
2000-05-29,39.849998,40.349998,39.849998,40.049999,16.225311,143900
2000-05-30,40.75,41.400002,40.25,41,16.61018,1126100
2000-05-31,40.799999,41.5,40.349998,40.349998,16.346855,818700
2000-06-01,40.799999,42.799999,40.799999,42.150002,17.076086,1081600
2000-06-02,43,44.299999,42.75,44.150002,17.886337,2863900
2000-06-05,43.900002,43.950001,43.099998,43.599998,17.663511,1282800
